得分,代码,转债名称,现价,涨跌幅,正股名称,正股价,正股涨跌,PB,转股价,转股价值,溢价率,评价,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,到期税前收益,到期税后收益,成交额(万元)
95.35,123026,中环转债,100.000,0.00%,中环环保,12.91,-2.05%,2.71,12.310,104.87,-4.65%,AA-,8.62,16.00,14.0%,24-06-10,5.000,2.17%,1.74%,0.00
95.58,113027,华钰转债,100.000,0.00%,华钰矿业,10.64,4.52%,2.79,10.170,104.62,-4.42%,AA,7.12,13.22,11.4%,25-06-13,6.000,2.43%,1.96%,0.00
97.74,113537,文灿转债,100.000,0.00%,文灿股份,20.39,-3.04%,2.16,19.930,102.31,-2.26%,AA-,13.95,25.91,17.8%,25-06-09,5.997,3.45%,2.79%,0.00
97.88,123027,蓝晓转债,100.000,0.00%,蓝晓科技,30.23,0.43%,6.42,29.590,102.16,-2.12%,A+,20.71,38.47,5.4%,25-06-10,6.000,3.16%,2.55%,0.00
100.0,113536,三星转债,100.000,0.00%,三星新材,19.75,0.97%,3.17,19.750,100.00,0.00%,AA,13.82,25.68,10.9%,25-05-30,5.970,2.44%,1.97%,0.00
103.65,128068,和而转债,100.000,0.00%,和而泰,8.77,0.00%,4.52,9.090,96.48,3.65%,AA-,6.36,11.82,7.3%,25-06-04,5.984,2.15%,1.73%,0.00
104.83,128060,中装转债,104.190,0.76%,中装建设,6.46,-0.15%,1.76,6.240,103.53,0.64%,AA,4.37,8.11,13.5%,25-03-26,5.792,1.49%,1.06%,3027.08
104.91,113535,大业转债,100.160,-2.56%,大业股份,12.01,-5.88%,2.29,12.560,95.62,4.75%,AA,8.79,16.33,14.4%,24-05-08,4.910,2.61%,2.10%,1539.48
105.848,123018,溢利转债,107.708,-0.83%,溢多利,9.23,-0.75%,1.77,8.410,109.75,-1.86%,AA-,5.89,10.93,17.7%,24-12-20,5.529,1.26%,0.76%,750.16
106.89,128057,博彦转债,104.260,-0.89%,博彦科技,8.95,-1.43%,1.84,8.810,101.59,2.63%,AA-,6.17,11.45,12.3%,25-03-05,5.734,2.17%,1.61%,566.99
107.87,113505,杭电转债,104.220,0.02%,杭电股份,7.33,-2.14%,2.24,7.290,100.55,3.65%,AA,5.10,9.48,15.4%,24-03-05,4.734,1.72%,1.21%,3911.88
108.18,128053,尚荣转债,105.030,-0.26%,尚荣医疗,5.03,-0.98%,1.50,4.940,101.82,3.15%,AA,3.46,6.42,21.1%,25-02-14,5.682,1.69%,1.19%,493.55
