得分,代码,转债名称,现价,涨跌幅,正股名称,正股价,正股涨跌,PB,转股价,转股价值,溢价率,评价,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,到期税前收益,到期税后收益,成交额(万元)
96.32,123026,中环转债,100.000,0.00%,中环环保,12.78,-4.98%,2.68,12.310,103.82,-3.68%,AA-,8.62,16.00,14.2%,24-06-10,5.003,2.17%,1.74%,0.00
100.782,128060,中装转债,100.312,-0.74%,中装建设,6.23,-1.11%,1.70,6.240,99.84,0.47%,AA,4.37,8.11,14.0%,25-03-26,5.808,2.16%,1.73%,803.79
102.1,113537,文灿转债,100.000,0.00%,文灿股份,19.52,-1.46%,2.07,19.930,97.94,2.10%,AA-,13.95,25.91,18.6%,25-06-09,6.000,3.45%,2.79%,0.00
102.35,123027,蓝晓转债,100.000,0.00%,蓝晓科技,28.91,-1.36%,6.14,29.590,97.70,2.35%,A+,20.71,38.47,5.7%,25-06-10,6.000,3.16%,2.55%,0.00
102.56,113535,大业转债,100.630,-0.90%,大业股份,12.40,-1.98%,2.37,12.560,98.73,1.93%,AA,8.79,16.33,13.9%,24-05-08,4.926,2.51%,2.00%,1072.06
104.9,128057,博彦转债,101.510,-0.58%,博彦科技,8.65,-0.69%,1.78,8.810,98.18,3.39%,AA-,6.17,11.45,12.7%,25-03-05,5.751,2.65%,2.09%,1036.01
105.42999999999999,113526,联泰转债,107.220,0.02%,联泰环保,9.52,1.17%,2.41,8.720,109.17,-1.79%,AA,6.10,11.34,13.7%,25-01-22,5.636,0.64%,0.28%,361.05
105.69000000000001,123018,溢利转债,107.010,-0.66%,溢多利,9.12,1.33%,1.75,8.410,108.44,-1.32%,AA-,5.89,10.93,17.9%,24-12-20,5.545,1.38%,0.88%,508.47
105.73,113536,三星转债,100.000,0.00%,三星新材,18.68,-2.66%,3.00,19.750,94.58,5.73%,AA,13.82,25.68,11.5%,25-05-30,5.986,2.44%,1.96%,0.00
106.029,128038,利欧转债,104.779,-5.01%,利欧股份,1.78,-5.82%,1.51,1.720,103.49,1.25%,AA,1.20,2.24,1.6%,24-03-22,4.797,1.77%,1.24%,947.12
106.25,132018,G三峡EB1,99.450,-0.03%,长江电力,17.52,-0.06%,2.65,18.800,93.19,6.80%,AAA,13.16,22.56,5.2%,24-04-09,4.847,2.20%,1.79%,9705.50
106.35,113523,伟明转债,107.960,-0.59%,伟明环保,19.17,-1.89%,5.37,17.470,109.73,-1.61%,AA,12.23,22.71,3.8%,24-12-10,5.518,1.22%,0.72%,864.34
106.59,113505,杭电转债,101.200,0.29%,杭电股份,7.00,1.45%,2.13,7.290,96.02,5.39%,AA,5.10,9.48,16.2%,24-03-05,4.751,2.35%,1.85%,1715.51
107.01,110052,贵广转债,109.560,-5.10%,贵广网络,9.14,-9.95%,2.04,8.130,112.42,-2.55%,AA+,5.69,10.57,16.8%,25-03-05,5.751,1.48%,0.89%,7821.88
107.07,128034,江银转债,102.190,-0.48%,江阴银行,4.56,-1.30%,0.90,4.680,97.44,4.88%,AA+,-,6.08,17.8%,24-01-26,4.644,1.54%,1.15%,470.75
